"","dcirnum","q1a","q1b","q1c","q1d","q1e","q1f","q1g","q2a","q2b","q2c","q2d","q3zp","q4popserv","q5state","q6ftemp","q7fcap","q8mfi5yrs","q9wdp","q10wmfp","q11nims","q12cpg","q13srwp","q14a","q14b","q14c","q14d","q14e","q14f","q14g","q14h","q14i","q14j","q14k","q14l","q15a","q15b","q15c","q15d","q15e","q15f","q15g","q16a","q16b","q16c","q16d","q17a","q17b","q17c","q17d","q17e","q17f","q17g","q17h","q17i","q17j","q17k","q17l","q17m","q17n","q18a","q18b","q19a","q19b","q20drills","q21sroster","q22wmfi","q23wcbrne","q24amfi","q25acbrne","q26preeventp","q27wprep","q28jprep","q29a","q29b","q29c","q29d","q29e","q29f","q29g","q29h","q29i","q29j","q29k","q30fema","q31ua","q32js"
"31",31,1,0,0,0,0,0,0,0,1,0,0,"54481",2,55,2,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,9,7,9,9,6,2,3,1,1,1,1,1,1,1,0,0,0,0,5,0,1
"32",32,1,0,0,0,0,0,0,0,1,0,0,"55404",2,26,2,1,0,0,0,99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,2,2,1,1,0,0,10,9,10,9,9,2,99,1,0,1,0,1,1,0,0,0,0,0,5,0,1
"33",33,1,0,0,0,0,0,0,0,1,0,0,"30701",2,12,2,1,0,1,1,99,99,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,11,99,99,99,11,3,4,0,1,0,0,0,0,0,0,0,0,0,4,0,1
"34",34,1,0,0,0,0,0,0,0,1,0,0,"40218",5,20,4,2,0,0,0,88,88,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,99,0,0,1,0,0,0,11,8,7,7,1,2,4,0,1,1,0,1,1,0,0,0,0,0,4,1,1
"35",35,1,0,0,0,0,0,0,0,1,0,0,"56477",1,26,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,11,11,11,11,11,5,5,1,1,0,0,1,1,1,0,0,0,0,5,0,0
"36",36,1,0,0,0,0,0,0,0,1,0,0,"62557",1,16,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,11,99,11,99,99,99,99,0,1,1,0,0,1,0,0,0,0,0,5,0,0
"37",37,1,0,0,0,0,0,0,0,1,0,0,"06437",2,8,2,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,6,6,6,6,6,3,99,0,1,0,0,1,1,0,0,0,0,0,1,0,1
"38",38,1,0,0,0,0,0,0,0,1,0,0,"47882",1,17,1,1,0,0,0,88,88,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,2,2,0,0,0,1,9,9,9,6,6,2,3,0,0,1,0,1,1,0,0,0,0,0,5,0,0
"39",39,1,0,0,0,0,0,0,0,1,0,0,"48444",1,25,1,1,0,0,0,88,88,88,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,2,2,1,0,0,1,9,6,7,5,2,3,5,0,1,1,0,0,1,0,0,0,0,0,5,0,0
"40",40,1,0,0,0,0,0,0,0,1,0,0,"48015",1,25,1,1,0,0,0,99,99,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,2,2,0,0,0,0,1,1,1,1,88,1,1,0,1,1,0,1,1,0,0,0,0,0,5,0,0
"41",41,1,0,0,0,0,0,0,0,1,0,0,"27890",1,36,3,1,0,0,0,88,88,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,2,2,1,0,1,0,2,2,2,1,1,99,99,0,1,1,0,0,1,0,0,0,0,0,4,0,0
