"","dcirnum","q1a","q1b","q1c","q1d","q1e","q1f","q1g","q2a","q2b","q2c","q2d","q3zp","q4popserv","q5state","q6ftemp","q7fcap","q8mfi5yrs","q9wdp","q10wmfp","q11nims","q12cpg","q13srwp","q14a","q14b","q14c","q14d","q14e","q14f","q14g","q14h","q14i","q14j","q14k","q14l","q15a","q15b","q15c","q15d","q15e","q15f","q15g","q16a","q16b","q16c","q16d","q17a","q17b","q17c","q17d","q17e","q17f","q17g","q17h","q17i","q17j","q17k","q17l","q17m","q17n","q18a","q18b","q19a","q19b","q20drills","q21sroster","q22wmfi","q23wcbrne","q24amfi","q25acbrne","q26preeventp","q27wprep","q28jprep","q29a","q29b","q29c","q29d","q29e","q29f","q29g","q29h","q29i","q29j","q29k","q30fema","q31ua","q32js"
"82",82,1,0,1,0,0,0,0,0,1,0,0,"18055",5,42,1,1,0,0,0,88,88,88,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,2,2,1,0,0,0,11,99,99,99,1,1,2,1,1,1,0,0,1,1,0,0,0,0,3,1,1
"83",83,1,0,0,0,0,0,0,0,1,0,0,"84624",1,49,1,1,0,1,0,99,99,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,11,11,11,11,11,4,3,0,0,1,0,1,1,0,0,0,0,0,8,0,0
"84",84,1,0,0,0,0,0,0,0,1,0,0,"88",4,25,2,1,1,0,0,99,88,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,2,2,1,0,0,0,10,9,99,4,2,3,4,0,0,1,1,0,1,1,0,0,0,0,5,1,1
"85",85,1,0,1,0,0,0,0,0,1,0,0,"46526",2,17,3,1,88,0,0,88,88,88,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,2,2,1,0,1,1,6,2,11,6,1,3,5,0,0,0,0,0,1,0,0,0,0,0,5,0,1
"86",86,1,0,0,0,0,0,0,0,1,0,0,"13323",1,35,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,10,9,10,9,6,3,4,0,1,1,0,0,1,0,0,0,0,0,2,0,0
"87",87,1,0,0,0,0,0,0,0,1,0,0,"04901",2,22,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,2,2,1,0,0,0,88,88,88,88,88,88,88,0,1,1,0,1,0,0,0,0,0,0,1,0,1
"88",88,1,0,0,0,0,0,0,0,1,0,0,"46723",2,17,1,1,0,0,0,88,88,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,1,0,0,0,11,6,11,6,1,1,1,0,0,1,0,1,1,0,1,0,0,0,5,0,1
"89",89,1,0,0,0,0,0,0,0,1,0,0,"54806",1,55,1,1,0,0,0,88,88,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,11,11,11,11,11,2,3,0,0,1,0,0,0,0,0,0,0,0,5,0,0
"90",90,1,1,0,0,0,0,0,0,1,0,0,"45813",1,39,1,1,0,0,0,88,88,88,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,2,2,1,0,99,0,11,10,11,11,11,3,3,0,0,1,0,0,0,0,0,0,0,0,5,0,0
"91",91,0,1,0,0,0,0,0,1,0,0,0,"36619",4,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,99,9,5,99,2,99,0,0,0,0,0,1,0,0,0,0,0,4,1,1
"92",92,1,0,0,0,0,0,0,0,1,0,0,"07621",2,33,2,1,0,0,0,88,88,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,2,2,1,0,0,0,11,6,9,3,1,1,5,0,0,0,0,0,0,0,0,0,0,99,2,0,1
"93",93,1,0,1,0,0,0,0,0,1,0,0,"68901",3,30,3,1,1,1,1,99,99,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,11,2,11,2,99,4,3,1,1,0,1,1,1,0,0,0,0,0,7,1,1
"94",94,1,0,0,0,0,0,0,0,1,0,0,"44672",2,39,2,2,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,2,2,1,0,1,1,10,5,10,7,2,2,2,0,1,1,0,1,1,1,0,0,0,0,5,0,1
"95",95,1,0,0,0,0,0,0,0,1,0,0,"29506",4,45,2,1,0,0,0,88,88,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,10,7,10,7,1,2,4,0,0,0,0,0,1,1,0,0,0,0,4,1,1
"96",96,1,0,0,0,0,0,0,0,1,0,0,"44310",4,39,1,1,0,0,0,88,88,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,2,2,1,0,0,1,3,1,5,8,1,4,88,1,1,1,0,0,0,1,0,0,0,0,5,1,1
"97",97,1,0,0,0,0,0,0,0,1,0,0,"08759",3,33,2,1,0,0,0,88,88,99,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,11,6,11,6,1,2,5,0,1,1,0,0,0,0,0,0,0,0,2,1,1
"98",98,1,0,0,0,0,0,0,0,1,0,0,"10965",1,35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,1,2,1,2,3,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0
"99",99,1,0,0,0,0,0,0,0,1,0,0,"85901",3,4,3,2,0,0,0,88,88,88,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,2,2,1,0,1,0,10,6,10,10,3,1,1,0,1,1,1,1,1,1,0,0,0,0,9,1,1
"100",100,1,0,0,0,0,0,0,0,1,0,0,"01089",4,24,2,1,0,0,0,99,99,99,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,10,8,10,6,7,3,3,1,1,1,1,0,1,0,0,0,0,0,1,1,1
"101",101,1,0,0,0,0,0,0,0,1,0,0,"56215",1,26,2,1,0,1,0,99,99,99,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,10,6,9,3,99,4,4,0,1,1,0,0,1,0,0,0,0,0,5,0,0
"102",102,1,0,0,0,0,0,0,0,1,0,0,"82435",1,56,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,9,6,11,6,6,1,3,1,1,1,1,1,1,1,0,0,0,0,8,0,0
"103",103,1,0,0,0,0,0,0,0,1,0,0,"48617",1,25,1,1,0,1,0,88,88,88,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,1,0,0,0,11,1,11,1,99,2,99,1,1,1,0,1,1,1,0,0,0,0,5,0,0
"104",104,1,0,1,0,0,0,0,0,1,0,0,"73401",2,40,2,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,11,11,11,11,1,1,2,0,1,1,0,1,1,1,0,0,0,0,6,0,1
"105",105,1,0,0,0,0,0,0,0,1,0,0,"41017",2,20,2,1,0,0,0,99,99,99,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,11,11,11,9,11,3,3,0,0,1,0,0,0,0,0,1,0,0,4,0,1
"106",106,1,0,0,0,0,0,0,0,1,0,0,"19002",1,42,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,11,1,6,1,1,2,3,1,1,0,0,0,0,0,0,0,0,0,3,0,0
"107",107,1,0,0,0,0,0,0,0,1,0,0,"06010",3,8,2,1,0,0,0,88,88,88,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,0,0,0,10,2,10,10,99,2,3,0,1,1,0,1,0,0,0,0,0,0,1,1,1
"108",108,1,0,1,0,0,0,0,0,1,0,0,"62451",1,16,3,1,0,0,0,88,88,88,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,11,6,6,6,1,1,1,0,1,1,1,1,1,1,0,0,0,0,5,0,0
"109",109,1,0,0,0,0,0,0,0,1,0,0,"45377",1,39,2,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,11,6,6,6,11,4,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"110",110,1,0,1,0,0,0,0,0,1,0,0,"44857",2,39,1,1,0,1,0,99,99,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,99,99,1,1,1,1,6,6,6,6,10,3,5,0,0,1,0,0,0,0,0,0,0,0,5,0,1
"111",111,1,0,1,0,0,0,0,0,1,0,0,"46767",1,17,2,1,1,0,0,88,88,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,11,11,9,9,11,3,1,0,1,1,0,0,1,0,0,0,0,0,5,0,0
"112",112,1,0,0,0,0,0,0,0,1,0,0,"15210",2,42,1,1,0,0,0,88,88,88,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2,2,1,1,0,0,6,6,6,6,6,3,5,0,0,1,0,0,1,0,0,0,0,0,3,0,1
"113",113,1,0,0,0,0,0,0,0,1,0,0,"45875",2,39,3,1,0,1,1,1,99,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,6,6,6,6,99,5,5,0,0,0,0,1,1,0,0,0,0,0,5,0,1
"114",114,1,0,0,0,0,0,0,0,1,0,0,"48043",3,25,1,1,0,1,0,88,88,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,2,1,0,0,0,6,1,3,1,1,1,2,1,1,1,1,1,1,1,0,0,0,0,5,1,1
"115",115,1,0,0,0,0,0,0,0,1,0,0,"49727",1,25,1,1,0,0,0,88,88,88,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,2,2,1,0,0,0,11,1,1,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"116",116,1,0,0,0,0,0,0,0,1,0,0,"44432",1,39,1,1,0,1,0,99,99,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,2,2,3,3,2,1,3,1,1,1,1,1,1,1,0,0,0,0,5,0,0
"117",117,1,0,0,0,0,0,0,0,1,0,0,"44001",1,39,1,1,0,0,0,88,88,88,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,11,11,11,11,1,88,88,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"118",118,1,0,0,0,0,0,0,0,1,0,0,"01851",3,24,2,1,0,0,0,99,88,88,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,11,9,9,7,6,4,4,0,1,1,0,1,1,0,0,0,0,0,1,1,1
"119",119,1,0,0,0,0,0,0,0,1,0,0,"28021",2,36,1,1,0,0,0,88,88,99,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,2,2,1,0,0,0,10,5,10,5,1,1,5,1,1,1,0,1,1,0,0,0,0,0,4,0,1
"120",120,1,0,1,0,0,0,0,0,1,0,0,"67401",2,19,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,6,4,7,4,1,2,3,1,1,1,1,1,1,0,0,0,0,0,7,0,1
"121",121,1,0,1,0,0,0,0,0,1,0,0,"35010",2,1,3,1,0,1,1,99,99,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,11,10,11,10,6,4,4,0,1,0,0,1,1,0,0,0,0,0,4,0,1
"122",122,1,0,1,0,0,0,0,0,1,0,0,"46158",1,17,2,1,0,1,0,88,88,88,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,11,11,11,11,10,2,3,1,1,1,0,1,1,0,0,0,0,0,5,0,0
"123",123,1,0,0,0,0,0,0,0,1,0,0,"29651",99,45,2,2,0,0,0,88,88,88,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,6,99,99,99,99,2,2,1,1,1,1,1,1,1,0,0,0,0,4,99,99
"124",124,1,0,0,0,0,0,0,0,1,0,0,"47346",1,17,1,1,0,1,0,99,99,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,11,11,11,11,11,3,3,0,0,0,0,0,1,0,1,0,0,0,5,0,0
"125",125,1,0,0,0,0,0,0,0,1,0,0,"18944",1,42,2,1,0,0,0,88,88,88,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,2,2,1,0,0,0,11,6,11,6,1,2,4,0,0,1,0,1,1,1,0,0,0,0,3,0,0
"126",126,1,0,0,0,0,0,0,0,1,0,0,"00717",4,43,5,2,0,0,0,88,88,88,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,2,2,0,0,0,1,11,6,11,6,4,2,4,0,1,1,0,1,1,1,0,0,0,0,2,1,1
"127",127,1,0,1,0,0,0,0,0,1,0,0,"45415",3,39,2,1,0,0,0,99,99,99,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,9,8,11,2,6,3,4,0,1,1,0,1,1,0,0,0,0,0,5,1,1
"128",128,1,0,0,0,0,0,0,0,1,0,0,"49677",1,25,1,1,0,0,0,88,88,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,2,1,0,0,0,1,1,6,1,1,3,4,1,0,0,0,0,0,1,0,0,0,0,5,0,0
"129",129,1,0,0,0,0,0,0,0,1,0,0,"58801",2,37,3,1,0,0,0,99,99,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,11,11,11,11,10,4,4,0,0,1,0,1,1,1,0,0,0,0,8,0,1
"130",130,1,1,1,0,0,0,0,0,1,0,0,"81003",4,7,4,99,0,0,0,88,88,88,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,2,1,0,0,0,10,8,10,11,5,2,3,0,1,1,0,1,1,1,0,0,0,0,8,1,1
"131",131,1,0,0,0,0,0,0,0,1,0,0,"80134",2,7,1,1,0,0,0,88,88,88,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,2,2,1,0,0,0,6,6,6,4,1,1,5,0,1,1,0,0,1,0,0,0,0,0,8,0,1
"132",132,1,0,0,0,0,0,0,0,1,0,0,"67022",1,19,1,1,0,1,0,88,88,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,2,2,1,1,1,0,11,6,11,6,11,3,1,0,1,1,1,1,1,1,0,0,0,0,7,0,0
"133",133,1,0,0,0,0,0,0,0,1,0,0,"66701",1,19,2,1,0,0,0,88,88,88,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,2,2,1,0,0,0,11,6,11,6,1,1,4,1,1,1,1,1,1,1,0,0,0,0,7,0,0
"134",134,1,0,0,0,0,0,0,0,1,0,0,"28681",2,36,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,2,2,1,0,0,0,10,2,10,10,4,88,88,1,1,1,1,1,1,1,0,0,0,0,4,0,1
"135",135,1,0,0,0,0,0,0,0,1,0,0,"70546",1,21,2,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,3,99,3,6,3,4,0,0,0,0,0,1,1,0,0,0,0,6,0,0
"136",136,1,0,1,0,0,0,0,0,1,0,0,"17078",1,42,2,1,0,0,0,88,88,88,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,2,1,0,0,1,6,1,6,1,1,3,99,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"137",137,1,0,0,0,0,0,0,0,1,0,0,"48060",3,25,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,10,8,10,8,2,4,4,0,0,0,0,0,0,0,0,1,0,0,5,1,1
"138",138,1,0,0,0,0,0,0,0,1,0,0,"28352",2,36,2,1,0,0,0,88,88,88,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,11,6,11,6,1,1,1,1,0,1,0,0,1,0,0,0,0,0,4,0,1
"139",139,1,0,0,0,0,0,0,0,1,0,0,"83530",1,15,1,1,0,0,0,88,88,88,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,2,2,1,0,0,0,11,11,11,11,11,1,3,1,1,1,0,1,0,1,0,0,0,0,10,0,0
"140",140,1,0,0,0,0,0,0,0,1,0,0,"48755",1,25,1,1,0,0,0,88,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,2,2,0,0,0,0,10,10,10,7,6,1,3,1,1,0,0,0,1,0,0,0,0,0,5,0,0
"141",141,1,0,0,0,0,0,0,0,1,0,0,"25702",3,54,1,1,0,0,0,88,88,88,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,2,2,1,0,0,1,11,11,11,99,99,2,3,1,0,0,0,0,0,0,0,0,0,0,3,1,1
"142",142,0,1,1,0,0,0,0,1,0,0,0,"07050",88,33,3,1,0,1,0,88,88,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,11,99,11,99,99,99,99,1,1,1,1,0,0,1,0,0,0,0,2,88,88
"143",143,1,0,0,0,0,0,0,0,0,0,99,"68510",4,30,1,2,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,6,3,6,3,6,3,4,1,1,0,0,1,1,0,0,0,0,0,7,1,1
"144",144,1,0,0,0,0,0,0,0,1,0,0,"28694",1,36,2,1,0,0,0,0,0,99,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,2,1,0,0,1,11,3,9,99,1,2,2,1,1,1,0,1,1,1,0,0,0,0,4,0,0
"145",145,0,1,0,0,0,0,0,1,0,0,0,"99501",4,2,1,1,0,1,0,88,88,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,11,1,11,1,11,3,4,0,0,1,0,0,0,0,0,0,0,0,10,1,1
"146",146,1,1,1,0,0,0,0,1,0,0,0,"75019",4,48,2,1,0,1,1,99,99,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,10,6,8,8,2,3,3,0,1,0,1,1,1,1,0,0,0,0,6,1,1
"147",147,1,0,0,0,0,0,0,0,1,0,0,"86336",2,4,3,1,0,0,0,88,88,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,2,2,0,0,0,0,11,99,11,99,1,1,99,0,1,1,0,0,1,0,0,0,0,0,9,0,1
"148",148,1,1,0,0,0,0,0,0,1,0,0,"76645",1,48,4,1,0,0,0,88,88,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,2,2,1,0,0,0,10,8,10,8,1,2,3,0,1,0,1,1,1,0,0,0,0,0,6,0,0
"149",149,1,0,1,0,0,0,0,0,1,0,0,"29926",2,45,2,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,2,2,1,1,0,0,9,6,10,6,1,2,4,0,0,1,0,1,1,0,0,0,0,0,4,0,1
"150",150,1,0,0,0,0,0,0,0,1,0,0,"53094",2,55,2,1,0,1,0,88,88,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,11,7,9,6,6,3,3,1,1,1,1,1,1,1,0,0,0,0,5,0,1
"151",151,1,0,0,0,0,0,0,0,1,0,0,"56378",1,26,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,2,1,0,0,0,11,6,8,6,1,1,3,0,0,1,0,0,1,0,0,0,0,0,5,0,0
"152",152,1,0,0,0,0,0,0,0,1,0,0,"18045",3,42,2,1,0,0,0,88,88,88,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,11,1,11,11,1,1,2,1,1,1,0,1,1,1,0,0,0,0,3,1,1
"153",153,1,0,0,0,0,0,0,0,1,0,0,"37887",1,47,2,1,0,0,0,88,88,88,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,2,2,1,0,0,0,11,99,11,99,99,3,99,1,1,0,0,0,0,0,0,0,0,0,4,0,0
"154",154,0,1,0,0,0,0,0,1,0,0,0,"02186",99,24,88,99,0,0,1,88,88,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,99,9,99,9,99,88,88,3,0,0,0,0,0,0,0,0,1,0,0,1,99,99
"155",155,1,0,0,0,0,0,0,0,1,0,0,"73130",3,40,3,1,0,0,0,88,88,88,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,10,6,9,6,2,1,5,0,0,1,0,0,1,1,0,0,0,0,6,1,1
"156",156,1,0,0,0,0,0,0,0,1,0,0,"62269",2,16,2,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,9,7,6,99,99,4,4,0,1,0,0,1,1,1,0,0,0,0,5,0,1
